Actor Losses,Critic Losses,Total Rewards,Avg Lengths
0.05560559406876564,5.7076287269592285,-42.723045349121094,48.0703125
0.025059377774596214,5.3534746170043945,-43.33197784423828,48.6796875
-0.00223180023021996,4.869240760803223,-43.751182556152344,49.0
0.028190508484840393,5.303130626678467,-43.38832092285156,48.6640625
-0.0023352643474936485,5.313877105712891,-43.676780700683594,49.0
0.021016154438257217,5.032555103302002,-43.37975311279297,48.6796875
0.01565014384686947,5.914551734924316,-43.36235809326172,48.6953125
-0.0029854485765099525,4.9797515869140625,-43.65635681152344,49.0
0.020799921825528145,4.6150970458984375,-43.3685302734375,48.71875
-0.0022172057069838047,5.459474563598633,-43.75973129272461,49.0
-0.002008927520364523,5.044185161590576,-43.642921447753906,49.0
0.05008700117468834,5.934117317199707,-43.097015380859375,48.3515625
0.022470135241746902,4.445796966552734,-43.47755432128906,48.71875
0.051974643021821976,4.718268871307373,-43.01820373535156,48.328125
0.03232623264193535,4.511806488037109,-43.30894088745117,48.6640625
0.05883500725030899,4.317038536071777,-42.72433090209961,48.09375
0.024235006421804428,4.5640387535095215,-43.45121765136719,48.6875
0.07261017709970474,4.681186199188232,-42.71528625488281,48.0703125
0.039927929639816284,4.556635856628418,-43.04340744018555,48.3671875
0.015570037998259068,3.711052179336548,-43.38700485229492,48.71875
0.05056576430797577,5.4634199142456055,-42.883663177490234,48.1484375
0.0643351599574089,4.264041900634766,-42.70234680175781,48.09375
0.024667920544743538,4.375117778778076,-43.42582702636719,48.6796875
0.016903655603528023,4.7461957931518555,-43.462791442871094,48.71875
0.022288357838988304,4.788207054138184,-43.348419189453125,48.6953125
-0.0018781661055982113,4.2895331382751465,-43.78050994873047,49.0
0.027446232736110687,4.449860095977783,-43.39374542236328,48.671875
-0.0025432920083403587,5.1026225090026855,-43.79203796386719,49.0
-0.0014686057111248374,4.5632219314575195,-43.614593505859375,49.0
-0.0019642142578959465,4.816630840301514,-43.78706741333008,49.0
0.025082483887672424,4.57346773147583,-43.525787353515625,48.703125
0.03342299908399582,4.986022472381592,-43.00495529174805,48.3984375
